,0
0,-1.767854565628453
1,-9.202012020651837
2,-9.202012020651837
3,-9.202012020651837
4,-9.202012020651837
5,-9.202012020651837
6,-9.202012020651837
7,-9.202012020651837
8,-9.202012020651837
9,-9.202012020651837
10,-9.202012020651837
11,-9.202012020651837
12,-9.202012020651837
13,-9.202012020651837
14,-9.202012020651837
15,-9.202012020651837
16,-9.202012020651837
17,-9.202012020651837
18,-9.202012020651837
19,-9.202012020651837
20,-9.202012020651837
21,-9.202012020651837
22,-9.202012020651837
23,-9.202012020651837
24,-9.202012020651837
25,-9.202012020651837
26,-9.202012020651837
27,-9.202012020651837
28,-9.202012020651837
29,-9.202012020651837
30,-9.202012020651837
31,-9.202012020651837
32,-9.202012020651837
33,-9.202012020651837
34,-9.202012020651837
35,-9.202012020651837
36,-9.202012020651837
37,-9.202012020651837
38,-9.202012020651837
39,-9.202012020651837
40,-9.202012020651837
41,-9.202012020651837
42,-9.202012020651837
43,-9.202012020651837
44,-9.202012020651837
45,-9.202012020651837
46,-9.202012020651837
47,-9.202012020651837
48,-9.202012020651837
49,-9.202012020651837
