,0
0,-3.8856319762386007
1,-3.8856319762386007
2,-3.8856319762386007
3,-3.9177324859379974
4,-3.9177324859379974
5,-4.1609901823832525
6,-4.1609901823832525
7,-4.1609901823832525
8,-4.99832402495215
9,-4.99832402495215
10,-4.99832402495215
11,-4.99832402495215
12,-4.99832402495215
13,-4.99832402495215
14,-5.02428699816403
15,-5.02428699816403
16,-5.02428699816403
17,-6.231430267916449
18,-6.231430267916449
19,-6.231430267916449
20,-6.231430267916449
21,-6.231430267916449
22,-7.145274113529475
23,-7.145274113529475
24,-7.145274113529475
25,-7.145274113529475
26,-7.145274113529475
27,-7.588794189591905
28,-7.588794189591905
29,-8.196536357688254
30,-8.196536357688254
31,-8.196536357688254
32,-8.603017767481532
33,-8.603017767481532
34,-8.603017767481532
35,-8.89200128740123
36,-8.89200128740123
37,-8.89200128740123
38,-8.89200128740123
39,-8.89200128740123
40,-8.89200128740123
41,-8.89200128740123
42,-8.89200128740123
43,-9.457726943556695
44,-9.457726943556695
45,-9.457726943556695
46,-9.457726943556695
47,-9.457726943556695
48,-9.457726943556695
49,-9.457726943556695
